id,predictions,CLUSTER_ID
2.15673930869065E+018,"7 : 0.18912914, 12 : 0.17266524, 1 : 0.060638722",17
2.15357515160675E+018,"12 : 0.57877254, 12 : 0.07013652, 7 : 0.03055967",17
2.15242559663077E+018,"7 : 0.5931522, 7 : 0.074746534, 4 : 0.03673076",17
2.15242282401121E+018,"7 : 0.95050806, 13 : 0.0012297754, 7 : 0.00076696946",17
2.15241882871017E+018,"4 : 0.123161495, 10 : 0.04320086, 2 : 0.03258249",17
2.14968285682214E+018,"2 : 0.9314979, 2 : 0.032573454, 7 : 0.008123177",17
2.14875131955195E+018,"7 : 0.22691137, 7 : 0.17799006, 2 : 0.16623203",17
2.14743459432517E+018,"11 : 0.121979184, 4 : 0.09869103, 9 : 0.09133954",17
2.14519859847262E+018,"2 : 0.3629455, 11 : 0.13191676, 9 : 0.0953218",17
2.14218984710481E+018,"7 : 0.25502947, 10 : 0.13783734, 12 : 0.039684977",17
2.14150322582302E+018,"7 : 0.17019364, 10 : 0.13047022, 10 : 0.11530065",17
2.1401450738417E+018,"1 : 0.24704504, 9 : 0.18122642, 7 : 0.16180225",17
2.13916417196203E+018,"7 : 0.22236197, 2 : 0.048233874, 7 : 0.04230207",17
2.1388340433625E+018,"7 : 0.06870428, 4 : 0.05987441, 7 : 0.034501836",17
2.13873697109339E+018,"3 : 0.9645939, 12 : 0.0034146083, 12 : 0.0032017499",17
2.13867468579006E+018,"1 : 0.5188461, 11 : 0.35874084, 12 : 0.015596475",17
2.13861641524723E+018,"12 : 0.3476399, 12 : 0.22930178, 3 : 0.09002279",17
2.13858162611139E+018,"3 : 0.8713377, 12 : 0.07536934, 7 : 0.0030619896",17
2.13856669568089E+018,"7 : 0.27366492, 1 : 0.062670365, 13 : 0.057111967",17
2.13852642735925E+018,"6 : 0.62353253, 3 : 0.02090276, 7 : 0.010512853",17
2.13840652388648E+018,"7 : 0.11030977, 2 : 0.08878779, 13 : 0.047523793",17
2.13802623422821E+018,"12 : 0.11164765, 2 : 0.09319103, 6 : 0.07099396",17
2.1378376357047E+018,"14 : 0.23947987, 3 : 0.10782191, 12 : 0.08230782",17
2.13736995750417E+018,"9 : 0.19937211, 9 : 0.086272076, 2 : 0.046316937",17
2.1372882893049E+018,"7 : 0.27074003, 3 : 0.10808522, 11 : 0.055928685",17
2.13724233584636E+018,"6 : 0.64356935, 7 : 0.1214895, 7 : 0.0481028",17
2.13714371805523E+018,"7 : 0.2016873, 10 : 0.11530751, 7 : 0.09584665",17
2.13713296550371E+018,"1 : 0.6093214, 3 : 0.10451043, 1 : 0.024963124",17
2.1370688541579E+018,"7 : 0.33772525, 3 : 0.14436756, 7 : 0.07708062",17
2.13637329701381E+018,"12 : 0.41467527, 2 : 0.04972166, 12 : 0.027258748",17
2.13636776770302E+018,"4 : 0.47735408, 2 : 0.09623199, 2 : 0.029083136",17
2.1357402332123E+018,"2 : 0.3440332, 2 : 0.16814004, 6 : 0.028609196",17
